,,Close,Close,Open,Open,High,High,Low,Low
,,min,max,min,max,min,max,min,max
month,year,,,,,,,,
1,2014,71.397141,79.622856,70.739998,79.382858,71.647141,80.028572,70.507141,78.860001
1,2015,105.989998,118.900002,106.540001,118.400002,107.43,120.0,104.629997,116.849998
1,2016,93.41999799999999,105.349998,93.790001,105.75,94.519997,105.849998,92.389999,102.410004
1,2017,116.019997,121.949997,115.800003,122.139999,116.33000200000001,122.440002,114.760002,121.599998
1,2018,166.970001,179.259995,165.529999,179.369995,167.369995,180.100006,164.699997,178.25
2,2014,71.647141,77.998573,71.80143000000001,78.0,72.53286,78.74143199999999,71.328575,77.944283
2,2015,118.629997,133.0,118.050003,132.940002,119.089996,133.600006,116.08000200000001,131.169998
2,2016,93.699997,98.120003,93.129997,98.839996,94.5,98.889999,92.589996,96.650002
2,2017,128.529999,137.110001,127.029999,137.380005,129.190002,137.479996,127.010002,136.699997
2,2018,155.149994,178.970001,154.830002,179.259995,157.889999,180.619995,150.240005,178.16000400000001
3,2013,61.192856000000006,66.225716,61.207142000000005,66.49143199999999,62.07143000000001,67.135712,60.765713,65.968575
3,2014,74.955711,77.855713,74.774284,78.074287,75.709999,78.428574,74.687141,77.084282
3,2015,122.239998,129.360001,122.309998,129.25,124.699997,130.279999,121.629997,128.320007
3,2016,100.529999,109.559998,97.650002,109.720001,100.769997,110.41999799999999,97.41999799999999,108.879997
3,2017,138.679993,144.119995,137.889999,144.190002,138.78999299999998,144.5,137.050003,143.5
3,2018,175.0,181.720001,172.800003,180.28999299999998,175.850006,182.389999,172.449997,180.21000700000002
4,2013,55.790001000000004,63.254284,55.424285999999995,63.128570999999994,57.085712,63.60714300000001,55.014286,61.724284999999995
4,2014,73.994286,84.870003,74.007141,84.82,74.441429,85.632858,73.04714200000001,84.257141
4,2015,124.25,132.649994,124.470001,134.46000700000002,125.120003,134.53999299999998,123.099998,131.149994
4,2016,93.739998,112.099998,93.989998,112.110001,94.720001,112.389999,92.510002,111.33000200000001
4,2017,140.679993,144.770004,141.220001,144.470001,141.880005,145.46000700000002,140.059998,143.869995
5,2013,61.264286,66.262856,60.462856,66.424286,62.549999,66.535713,59.842856999999995,65.11571500000001
5,2014,83.648575,90.76857,83.505714,91.139999,83.75,92.024284,82.904289,89.842857
5,2015,125.010002,132.53999299999998,124.769997,132.600006,126.08000200000001,132.970001,123.360001,131.399994
5,2016,90.339996,100.410004,90.0,99.68,91.66999799999999,100.730003,89.470001,99.25
5,2017,146.529999,156.100006,145.100006,156.009995,147.139999,156.649994,144.270004,155.050003
6,2013,56.254284,64.388573,55.908573,64.745712,57.181427,64.918571,55.552856000000006,63.912856999999995
6,2014,89.807144,94.25,89.779999,94.730003,90.690002,95.050003,88.928574,93.57
6,2015,124.529999,130.53999299999998,125.459999,130.66000400000001,126.120003,131.389999,124.480003,130.050003
6,2016,92.040001,99.650002,92.900002,99.25,93.050003,101.889999,91.5,98.959999
6,2017,142.270004,155.449997,143.320007,155.25,144.479996,155.979996,142.199997,154.479996
7,2013,58.459998999999996,64.760002,57.527142000000005,64.998573,58.895714,65.334282,57.317142000000004,64.204285
7,2014,93.089996,99.019997,93.519997,99.33000200000001,94.059998,99.440002,92.57,98.25
7,2015,120.07,132.070007,121.940002,132.850006,122.57,132.970001,119.220001,130.699997
7,2016,94.989998,104.339996,94.599998,104.269997,95.400002,104.550003,94.370003,103.68
7,2017,142.729996,153.46000700000002,142.899994,153.75,143.5,153.990005,142.41000400000001,153.059998
8,2013,64.921425,72.534286,65.10714,72.815712,65.257141,73.391426,64.751427,72.0
8,2014,94.480003,102.5,94.260002,102.860001,94.82,102.900002,93.279999,102.199997
8,2015,103.120003,119.720001,94.870003,121.5,108.800003,122.57,92.0,117.519997
8,2016,104.480003,109.480003,104.410004,109.629997,105.839996,110.230003,104.0,109.209999
8,2017,150.050003,164.0,149.100006,163.800003,150.220001,164.520004,148.41000400000001,163.479996
9,2013,64.302856,72.309998,63.994285999999995,72.314285,65.672859,72.559998,63.888573,71.925713
9,2014,97.870003,103.300003,98.010002,103.099998,99.309998,103.739998,96.139999,102.720001
9,2015,107.720001,116.410004,108.970001,116.58000200000001,110.449997,116.889999,107.360001,115.440002
9,2016,103.129997,115.57,102.650002,115.190002,105.720001,116.18,102.529999,114.040001
9,2017,150.550003,164.050003,149.990005,164.800003,151.830002,164.940002,149.16000400000001,163.630005
10,2013,68.705711,75.987144,68.349998,76.610001,69.228569,77.035713,68.325714,75.01571700000001
10,2014,96.260002,108.0,95.550003,108.010002,97.720001,108.040001,95.18,107.209999
10,2015,109.5,120.529999,108.010002,120.989998,109.620003,121.220001,107.309998,119.449997
10,2016,112.519997,118.25,112.709999,118.18,113.050003,118.690002,112.279999,117.449997
10,2017,153.479996,169.03999299999998,153.630005,167.899994,153.860001,169.649994,152.46000700000002,166.940002
11,2013,73.21285999999999,79.438568,73.511429,78.497147,74.345711,79.761429,73.197144,78.25856800000001
11,2014,108.599998,119.0,108.220001,119.269997,108.790001,119.75,107.720001,118.050003
11,2015,112.339996,122.57,111.379997,123.129997,114.239998,123.82,111.0,121.620003
11,2016,105.709999,111.800003,106.57,113.459999,107.68,113.769997,104.08000200000001,111.400002
11,2017,166.889999,176.240005,166.600006,175.110001,168.5,176.240005,165.279999,174.649994
12,2013,77.779999,81.441429,77.918571,81.807144,78.571426,82.16285699999999,76.971428,80.915718
12,2014,106.75,115.93,106.370003,118.809998,109.839996,119.25,106.260002,115.290001
12,2015,105.260002,119.029999,106.959999,118.980003,107.029999,119.860001,104.82,117.809998
12,2016,109.110001,117.260002,109.16999799999999,117.519997,110.029999,118.019997,108.25,116.779999
12,2017,169.009995,176.419998,167.5,175.029999,170.199997,177.199997,166.46000700000002,174.860001
